index,Country,Family,Freedom,Generosity,Happiness Rank,Happiness Score,Year,country_code,fertility_rate_15_19,fertility_rate_20_24,fertility_rate_25_29,fertility_rate_30_34,fertility_rate_35_39,fertility_rate_40_44,fertility_rate_45_49,total_fertility_rate,gross_reproduction_rate,sex_ratio_at_birth,fertility_rate_avg
114,Zimbabwe,1.03276,0.25861,0.18987,115,4.61,2015,ZI,110,204,201,147,102,34,6,4.02,1.9803,1.03,100.5
115,Liberia,0.78968,0.28531,0.24362,116,4.571,2015,LI,143.8,222.9,218.9,195.6,143.5,86.1,21.2,5.16,2.5419,1.03,135.516666666667
116,India,0.38174,0.39786,0.26475,117,4.565,2015,IN,35.3,167.3,153.9,83.9,36.3,14.4,4.9,2.48,1.1698,1.12,57.0166666666667
117,Sudan,1.01404,0.10081,0.19062,118,4.55,2015,SU,84.2,201.8,253.9,221.3,155.6,68.9,22.2,5.0392,2.4581,1.05,125.666666666667
118,Haiti,0.74302,0.24425,0.46187,119,4.518,2015,HA,41.1,113.9,143.5,131.3,87.5,44.9,9.8,2.86,1.4222,1.011,71.4166666666667
119,Congo (Kinshasa),1.0012,0.22605,0.24834,120,4.517,2015,CG,81.1,185.7,218.7,210.3,138.1,77.6,20.5,4.66,2.2956,1.03,118.883333333333
120,Nepal,0.86449,0.38282,0.32296,121,4.514,2015,NP,46.6,118.4,128.9,89.8,42.3,16.9,3.2,2.23,1.0825,1.06,52.8666666666667
121,Ethiopia,0.60406,0.4345,0.24325,122,4.512,2015,ET,95.8,213,242.7,206.8,154.9,91.1,25.7,5.15,2.5369,1.03,131.216666666667
122,Sierra Leone,0.95571,0.4084,0.21488,123,4.507,2015,SL,133.5,207.2,207.5,178.3,135,65.6,32.9,4.8,2.3645,1.03,125.416666666667
123,Mauritania,0.86908,0.24232,0.219,124,4.436,2015,MR,69.6,146.6,181.3,172.1,122.2,75.1,33.1,4,1.9704,1.03,103.116666666667
124,Kenya,0.99876,0.42215,0.37542,125,4.419,2015,KE,60.5,152.3,177.9,146.1,81.2,34.6,8.9,3.307,1.6371,1.02,80.6
125,Djibouti,0.59207,0.46074,0.18093,126,4.369,2015,DJ,14.3,79.3,141.5,129,70,32.4,11.6,2.3901,1.1774,1.03,56.1
126,Armenia,0.77711,0.19847,0.07855,127,4.35,2015,AM,24.4,124.4,99.7,52.1,20.1,6.4,0.4,1.6378,0.7686,1.1307,37.9666666666667
127,Botswana,1.10464,0.49495,0.10461,128,4.332,2015,BC,32.7,121.8,132.9,112.5,78.7,38.1,11.4,2.64,1.3005,1.03,65.8666666666667
129,Georgia,0.38562,0.40577,0.05547,130,4.297,2015,GG,38.2,106.9,100.1,68.8,30,7.9,0.8,1.764,0.849,1.0778,42.1
130,Malawi,0.41134,0.43054,0.33128,131,4.292,2015,MI,145.9,266,247.2,199.2,146.2,80.9,34.7,5.6,2.7792,1.015,145.483333333333
131,Sri Lanka,1.01905,0.53726,0.40828,132,4.271,2015,CE,16.5,88.7,138,109,50.3,16.1,2.4,2.1043,1.0315,1.04,47.1666666666667
132,Cameroon,0.88767,0.49309,0.20618,133,4.252,2015,CM,112,213.8,231,189.9,128.2,62.2,15,4.76,2.3448,1.03,120.183333333333
133,Bulgaria,1.10614,0.30587,0.11921,134,4.218,2015,BU,39.8,71.2,85.3,62,26.3,5.1,0.6,1.4502,0.7033,1.062,34.1666666666667
134,Egypt,0.747,0.17288,0.11291,135,4.194,2015,EG,60.7,217.2,210.8,138.4,70.3,18.1,3.2,3.5938,1.7409,1.0643,84.65
135,Yemen,0.68093,0.35571,0.09131,136,4.077,2015,YM,53.1,156.9,203.9,178.1,112.1,53.3,24.6,3.91,1.9073,1.05,96.35
136,Angola,0.8604,0.10384,0.12344,137,4.033,2015,AO,164.6,264.2,281.1,248.5,188.2,91,21.2,6.2936,3.1003,1.03,162.95
137,Mali,1.03526,0.38857,0.18798,138,3.995,2015,ML,170.2,272.1,269.4,232.8,186.5,84.3,28.4,6.2187,3.0634,1.03,162.383333333333
138,Congo (Brazzaville),0.6629,0.41466,0.12388,139,3.989,2015,CF,135.6,200.5,210.6,188.6,137.9,52.4,10.3,4.68,2.3054,1.03,120.883333333333
139,Comoros,0.79273,0.22917,0.17441,140,3.956,2015,CN,54.2,156.9,195.9,160.1,88,37.2,27.7,3.6,1.7734,1.03,87.35
140,Uganda,1.13299,0.45727,0.29066,141,3.931,2015,UG,141.9,268.8,272.8,234.5,165.5,91.7,2.9,5.89,2.9015,1.03,150.883333333333
141,Senegal,0.97619,0.36772,0.20843,142,3.904,2015,SG,77.5,172.5,214.4,195.3,140.4,72,15.9,4.44,2.1872,1.03,112.266666666667
